2025-02-04 20:49:53.661 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs/project_log.log
2025-02-04 20:49:53.663 | INFO     | __main__:<module>:68 - Project root: /Users/evandobler/buzzline-03-dobler
2025-02-04 20:49:53.663 | INFO     | __main__:<module>:72 - Data folder: /Users/evandobler/buzzline-03-dobler/data
2025-02-04 20:49:53.663 | INFO     | __main__:<module>:76 - Data file: /Users/evandobler/buzzline-03-dobler/data/buzz.json
2025-02-04 20:49:53.663 | INFO     | __main__:main:136 - START producer.
2025-02-04 20:49:53.663 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-02-04 20:49:53.666 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-02-04 20:49:53.667 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-04 20:49:53.998 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'evans-air.lan', 'port': 9092, 'rack': None}], 'cluster_id': '1cffF6jIQxOKLfzrCKy2-Q', 'controller_id': 0}
2025-02-04 20:49:53.998 | INFO     | __main__:get_kafka_topic:50 - Kafka topic: buzzline_json
2025-02-04 20:49:53.999 | INFO     | __main__:get_message_interval:57 - Message interval: 1 seconds
2025-02-04 20:49:53.999 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-04 20:49:53.999 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-02-04 20:49:54.109 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-02-04 20:49:54.109 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-04 20:49:54.438 | INFO     | utils.utils_producer:create_kafka_topic:176 - Creating 'buzzline_json'.
2025-02-04 20:49:54.543 | INFO     | utils.utils_producer:create_kafka_topic:181 - Topic 'buzzline_json' created successfully.
2025-02-04 20:49:54.544 | INFO     | __main__:main:159 - Kafka topic 'buzzline_json' is ready.
